,,predicted class,,,,,,,,,,,,,,,,,,,,
,,brazilian,british,cajun_creole,chinese,filipino,french,greek,indian,irish,italian,jamaican,japanese,korean,mexican,moroccan,russian,southern_us,spanish,thai,vietnamese,support
actual class,brazilian,46,0,3,0,1,3,0,2,0,9,0,0,0,17,1,2,4,2,5,0,95
,british,0,68,6,0,0,12,0,4,13,12,2,0,0,1,0,2,30,0,0,0,150
,cajun_creole,0,2,222,0,0,10,0,1,2,18,1,0,0,8,1,0,44,4,0,0,313
,chinese,0,1,4,481,5,5,1,2,1,3,1,9,12,6,0,0,8,0,6,9,554
,filipino,2,2,2,17,99,1,0,2,2,0,1,0,3,5,0,1,7,1,2,4,151
,french,0,11,9,0,2,327,1,3,6,99,1,1,0,6,2,7,53,10,1,1,540
,greek,0,0,0,0,0,8,166,3,0,27,0,0,0,1,6,2,5,5,0,1,224
,indian,0,1,0,3,0,3,3,545,1,1,1,4,1,8,8,0,11,1,5,0,596
,irish,0,14,0,1,0,19,1,2,62,5,0,0,0,2,0,0,19,3,0,0,128
,italian,0,8,3,0,0,66,14,3,2,1388,1,3,0,14,4,6,40,12,0,0,1564
,jamaican,1,0,0,0,4,4,0,6,1,2,70,0,0,4,0,1,11,0,0,0,104
,japanese,1,1,0,23,1,1,0,22,1,4,0,189,2,1,0,1,6,1,0,1,255
,korean,0,0,1,12,1,2,0,0,1,2,0,7,127,1,0,0,3,1,0,2,160
,mexican,2,2,2,2,1,11,2,5,0,26,2,1,0,1197,1,1,28,13,1,1,1298
,moroccan,0,0,2,0,0,5,4,9,0,8,2,0,0,3,119,0,4,3,0,0,159
,russian,0,4,1,0,1,14,1,1,1,15,0,0,1,3,1,47,11,1,0,0,102
,southern_us,0,13,41,3,3,22,2,8,9,47,1,2,0,24,2,4,701,5,0,0,887
,spanish,2,0,1,0,0,27,5,1,0,40,0,0,1,16,1,0,7,101,0,0,202
,thai,0,0,0,19,4,0,0,9,0,2,0,6,1,5,0,0,1,0,250,20,317
,vietnamese,3,0,1,22,5,1,0,0,0,0,0,1,0,2,1,0,2,0,27,91,156
,,57,127,298,583,127,541,200,628,102,1708,83,223,148,1324,147,74,995,163,297,130,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,predicted class,,,,,,,,,,,,,,,,,,,,
,,brazilian,british,cajun_creole,chinese,filipino,french,greek,indian,irish,italian,jamaican,japanese,korean,mexican,moroccan,russian,southern_us,spanish,thai,vietnamese,
actual class,brazilian,0.484210526,0,0.031578947,0,0.010526316,0.031578947,0,0.021052632,0,0.094736842,0,0,0,0.178947368,0.010526316,0.021052632,0.042105263,0.021052632,0.052631579,0,
,british,0,0.453333333,0.04,0,0,0.08,0,0.026666667,0.086666667,0.08,0.013333333,0,0,0.006666667,0,0.013333333,0.2,0,0,0,
,cajun_creole,0,0.006389776,0.709265176,0,0,0.031948882,0,0.003194888,0.006389776,0.057507987,0.003194888,0,0,0.025559105,0.003194888,0,0.14057508,0.012779553,0,0,
,chinese,0,0.001805054,0.007220217,0.868231047,0.009025271,0.009025271,0.001805054,0.003610108,0.001805054,0.005415162,0.001805054,0.016245487,0.02166065,0.010830325,0,0,0.014440433,0,0.010830325,0.016245487,
,filipino,0.013245033,0.013245033,0.013245033,0.112582781,0.655629139,0.006622517,0,0.013245033,0.013245033,0,0.006622517,0,0.01986755,0.033112583,0,0.006622517,0.046357616,0.006622517,0.013245033,0.026490066,
,french,0,0.02037037,0.016666667,0,0.003703704,0.605555556,0.001851852,0.005555556,0.011111111,0.183333333,0.001851852,0.001851852,0,0.011111111,0.003703704,0.012962963,0.098148148,0.018518519,0.001851852,0.001851852,
,greek,0,0,0,0,0,0.035714286,0.741071429,0.013392857,0,0.120535714,0,0,0,0.004464286,0.026785714,0.008928571,0.022321429,0.022321429,0,0.004464286,
,indian,0,0.001677852,0,0.005033557,0,0.005033557,0.005033557,0.91442953,0.001677852,0.001677852,0.001677852,0.006711409,0.001677852,0.013422819,0.013422819,0,0.018456376,0.001677852,0.008389262,0,
,irish,0,0.109375,0,0.0078125,0,0.1484375,0.0078125,0.015625,0.484375,0.0390625,0,0,0,0.015625,0,0,0.1484375,0.0234375,0,0,
,italian,0,0.00511509,0.001918159,0,0,0.042199488,0.008951407,0.001918159,0.001278772,0.887468031,0.000639386,0.001918159,0,0.008951407,0.002557545,0.003836317,0.025575448,0.007672634,0,0,
,jamaican,0.009615385,0,0,0,0.038461538,0.038461538,0,0.057692308,0.009615385,0.019230769,0.673076923,0,0,0.038461538,0,0.009615385,0.105769231,0,0,0,
,japanese,0.003921569,0.003921569,0,0.090196078,0.003921569,0.003921569,0,0.08627451,0.003921569,0.015686275,0,0.741176471,0.007843137,0.003921569,0,0.003921569,0.023529412,0.003921569,0,0.003921569,
,korean,0,0,0.00625,0.075,0.00625,0.0125,0,0,0.00625,0.0125,0,0.04375,0.79375,0.00625,0,0,0.01875,0.00625,0,0.0125,
,mexican,0.001540832,0.001540832,0.001540832,0.001540832,0.000770416,0.008474576,0.001540832,0.00385208,0,0.020030817,0.001540832,0.000770416,0,0.922187982,0.000770416,0.000770416,0.021571649,0.010015408,0.000770416,0.000770416,
,moroccan,0,0,0.012578616,0,0,0.031446541,0.025157233,0.056603774,0,0.050314465,0.012578616,0,0,0.018867925,0.748427673,0,0.025157233,0.018867925,0,0,
,russian,0,0.039215686,0.009803922,0,0.009803922,0.137254902,0.009803922,0.009803922,0.009803922,0.147058824,0,0,0.009803922,0.029411765,0.009803922,0.460784314,0.107843137,0.009803922,0,0,
,southern_us,0,0.014656144,0.046223224,0.003382187,0.003382187,0.024802706,0.002254791,0.009019166,0.010146561,0.052987599,0.001127396,0.002254791,0,0.027057497,0.002254791,0.004509583,0.790304397,0.005636979,0,0,
,spanish,0.00990099,0,0.004950495,0,0,0.133663366,0.024752475,0.004950495,0,0.198019802,0,0,0.004950495,0.079207921,0.004950495,0,0.034653465,0.5,0,0,
,thai,0,0,0,0.059936909,0.012618297,0,0,0.028391167,0,0.006309148,0,0.018927445,0.003154574,0.015772871,0,0,0.003154574,0,0.788643533,0.063091483,
,vietnamese,0.019230769,0,0.006410256,0.141025641,0.032051282,0.006410256,0,0,0,0,0,0.006410256,0,0.012820513,0.006410256,0,0.012820513,0,0.173076923,0.583333333,
